"code","cont","reg","year","def","eco","edu","amb","pub","sal","viv","seg","cul","soc"
"UKR","Europe","Europe & Central Asia",2010,1.05129773029223,4.11770040320713,7.39708490141252,0.266120409951952,4.28155379782757,4.27287172046776,0.503199159491025,2.67065519305209,1.08217105543542,22.9139034327269
"UKR","Europe","Europe & Central Asia",2011,1.01863397515829,4.4528897507752,6.6361359424796,0.299286687369374,11.4639589043309,3.8298203602948,0.667646929863361,2.51061199654459,0.839133501693473,13.6170165024219
"UKR","Europe","Europe & Central Asia",2012,1.03133905567789,4.42512079358198,7.23145452772148,0.37716358800543,3.78978962303575,4.26459187182176,1.42806597141391,2.6113767727486,0.983099933151511,22.2970678501483
"UKR","Europe","Europe & Central Asia",2013,1.01313007293212,3.35930223717204,7.2030537852222,0.381804060952854,4.40087400071526,4.33868124997441,0.525846680039148,2.68968763839426,0.946219150585791,22.8257887329904
"UKR","Europe","Europe & Central Asia",2014,1.72444648894238,2.55555590564082,6.3084349193246,0.219400535000299,4.90972106256479,3.69046861363085,1.12220881395664,2.82715835441722,0.884514923609645,20.5360085448811
"UKR","Europe","Europe & Central Asia",2015,2.61577817740015,1.93116672298928,5.74256340317338,0.278077829809147,5.53855987094075,3.59067237134305,0.789542499436774,2.76398208940813,0.816084532200444,18.5339122493644
"UKR","Europe","Europe & Central Asia",2016,2.48847242374025,2.53403773926612,5.426322238884,0.262240569270892,5.63482264993186,3.18519120957069,0.735631037068929,3.02077625790916,0.708398330319821,16.4038238141133
"UKR","Europe","Europe & Central Asia",2017,2.49287275555496,3.28022541670578,5.96448951151322,0.246372681801725,5.54861008676062,3.43262641974978,0.932462151180722,2.96639585454286,0.816056079278023,15.7510465584059
"UKR","Europe","Europe & Central Asia",2018,2.86333448422647,3.99155038108287,6.19838796468968,0.243234441947873,5.37505027673681,3.44370036204912,0.895543649372624,3.48312193054633,0.855632188648249,16.210238681254
"TLS","Asia","East Asia & Pacific",2012,0.599542783667114,8.74313566849291,1.63570861032357,0.0362302385975643,2.67515276280308,0.800278527563515,0.302415970722561,0.735313822549606,0.146496573949337,2.40927919845187
"CHN","Asia","East Asia & Pacific",2005,1.32248040862993,9.43821739844796,2.37252593892972,0.787818675923769,6.43182785762223,0.631263998351628,0.106531364222328,1.25299061993249,0.334849730383714,2.0628590419945
"CHN","Asia","East Asia & Pacific",2006,1.36284420131232,9.79298515164113,2.42352730395574,0.833655418993617,4.73150646784599,0.653054941856829,0.113378221942194,1.29521508646961,0.330324827644182,4.45619810595287
"CHN","Asia","East Asia & Pacific",2007,1.31370083763341,14.4331583790099,2.68880738556485,0.340556349254683,3.01776514138398,0.762215734196588,3.63015952399846,1.28309203866234,0.347224308419646,4.13538017672502
"CHN","Asia","East Asia & Pacific",2008,1.31366335955133,7.81180943342775,3.61058008898458,0.472063387945972,2.8444171157774,0.967947176339116,1.84311637780966,1.30138902382688,0.460051604857339,4.63028831339847
"CHN","Asia","East Asia & Pacific",2009,1.42301115675354,8.73035212009678,3.72757864583707,0.574237494633067,2.83238679699133,1.21631034348517,1.77141131653986,1.38574785016933,0.504046069357408,5.41896212358094
"CHN","Asia","East Asia & Pacific",2010,1.30596232729405,8.85769292502669,3.73450413658092,0.608255791356947,2.73830412507348,1.24272018611776,1.78928564339901,1.36861093281133,0.479768457026704,5.43160384402653
"CHN","Asia","East Asia & Pacific",2011,1.24309472134372,7.98871641540235,3.50799066753159,0.543371339215834,2.67432296556293,0.898181205285413,1.79558263579863,1.29707406414951,0.431886178776949,6.44318619268325
"CHN","Asia","East Asia & Pacific",2012,1.24030643098356,7.98334323624558,4.06274516634888,0.548417916153472,2.75044465067586,0.873212016512524,1.90227566228732,1.31455564516159,0.442803917416264,7.08130992548232
"CHN","Asia","East Asia & Pacific",2013,1.24557529059502,8.21313938293981,3.84851810255173,0.578305456033493,2.73737668572332,0.880673126730024,2.1472240102845,1.30439950270262,0.451749174494649,7.49578782736871
"CHN","Asia","East Asia & Pacific",2014,1.28731332265372,8.07898664982129,3.72298844529918,0.584441233679549,2.68424652809112,0.905375843897747,2.28843948107493,1.29132646158619,0.441805243316491,7.90900637002255
"CHN","Asia","East Asia & Pacific",2015,1.30477757269779,8.55939826533717,3.78648154815207,0.704659357787354,2.64559388054633,2.75352024447713,2.54677865089979,1.34170252102677,0.452006611965061,6.79035458381667
"CHN","Asia","East Asia & Pacific",2016,1.31686316494687,7.7574076462235,3.79539356568231,0.666487332729862,2.76267099809618,2.98962709177916,2.64889249060487,1.47954800273366,0.432852248209126,7.08366450620926
"CHN","Asia","East Asia & Pacific",2017,1.28656554372854,7.08249086189797,3.72918085017566,0.732817478046815,2.93973833929777,2.97711234139023,2.76346437087084,1.52850176797699,0.424527829042344,7.21507549637296
"HKG","Asia","East Asia & Pacific",2002,0,2.00371529437156,4.08705505110457,0.818906377665068,4.27436138560439,2.5900689102317,2.25507577042256,2.19048206329875,0.665515593445049,2.48732020904312
"HKG","Asia","East Asia & Pacific",2003,0,2.23392158157796,4.35786989254927,0.80132477207602,3.81174358562199,2.76413279869242,2.47686542757082,2.2189613971539,0.68578122003487,2.67858919094845
"HKG","Asia","East Asia & Pacific",2004,0,1.91526019610478,3.92687947672993,0.637610112464492,3.91617291178322,2.53160904484532,1.45108124915999,2.06089985261388,0.641786432124555,2.61695783208006
"HKG","Asia","East Asia & Pacific",2005,0,1.64666725679384,3.33249535274852,0.51709303354873,5.19203328317252,2.18946622997256,0.982490926794724,1.66479596353014,0.547189519341418,2.1773568203948
"HKG","Asia","East Asia & Pacific",2006,0,1.28013931534331,3.30980369201624,0.533008902771939,3.55917975297868,2.2654042433176,1.06468744512263,1.71290556037442,0.582897418568639,2.20048265476083
"HKG","Asia","East Asia & Pacific",2007,0,1.32618024711102,3.1211154162093,0.511099156992311,3.28249602000538,2.14834899888294,1.04000833557473,1.73720404469225,0.544114333069212,2.08292442977642
"HKG","Asia","East Asia & Pacific",2008,0,1.19637736839146,3.29589431960869,0.59086798853052,3.7087815551266,2.27691204857662,1.11514692929028,1.69670299293465,2.33108519649918,2.50549345002717
"HKG","Asia","East Asia & Pacific",2009,0,2.20642521146666,3.48266832203804,0.655599384057207,3.71156761056987,2.45280232877001,1.31113849973934,1.87398485455734,0.734792028904713,2.71575324921877
"HKG","Asia","East Asia & Pacific",2010,0,1.98296264437053,3.5187678879849,0.611428494222927,3.43618197499116,2.41413204288388,1.23721241299487,1.76205799366335,0.753124978889082,2.42983856621397
