"code","cont","reg","year","inv","def","eco","edu","amb","gob1","faid","gobo","gobr","gobg","sal","viv","gobd","seg","cul","soc","gobt"
"EST","Europe","Europe & Central Asia",2016,0.429619201581294,2.35276438290872,4.2814411419389,5.67217196937534,0.59464460304707,2.2490473009819,0.200519691725175,0.0244311348538718,0.0276578885138172,0.897498482273368,5.15773524301834,0.34249685276277,0.139672336994777,1.91715263881609,2.0678881312164,13.1185974869121,0
"EST","Europe","Europe & Central Asia",2017,0.431530857821097,2.02222257739165,4.70940644739067,5.69822618105285,0.737303697622206,2.09624736391847,0.184641370939046,0.0378535840193945,0.034068225617455,0.953069126532755,4.99330832753613,0.356664880538295,0.103887058364338,1.90571765768752,2.1505041676796,12.9072309598575,0
"EST","Europe","Europe & Central Asia",2018,0.495470478025308,2.0172177911542,3.98988164785031,6.18992420453943,0.742821631396082,2.0944190051721,0.157475113170834,0.0545401611469719,0.0265019092897258,0.926414568214762,5.13791363142988,0.331081823300632,0.0810420704366977,1.85052462257824,1.96190945872347,13.0335621715588,0
"THA","Asia","East Asia & Pacific",2013,0.0312249197948313,1.4063370541562,3.23352765246837,3.68346309401646,0.0247208425893846,1.11335250820949,0.000110260369431467,0.675887147686837,0.0129576910845955,4.79253469685536,1.06274858939604,0.564243546663707,1.11540683347589,1.09777237331909,0.221616734469263,2.53766871059231,-0.00274001586839889
"THA","Asia","East Asia & Pacific",2014,0.0407622086340946,1.33334723203996,3.58098213604538,3.72355676300115,0.0232146197955797,1.07080793357946,5.536706661433e-05,0.829402475656646,0.0133186413634561,4.93754789839486,1.05870801663572,0.430940712644861,1.11569443203184,1.12072379632538,0.20562574034309,2.54794948170735,-1.88960180160374e-08
"THA","Asia","East Asia & Pacific",2015,0.0342815113813373,1.3854827884767,3.74270996985045,3.75967114775594,0.0305736203578791,0.635379282378675,0.0047737040676208,0.663282313526701,0.0149226206726339,5.07663376361441,1.13507859615271,0.529798782318998,0.99496826550807,1.2513501827783,0.269745682267962,2.51213147908798,-0.00304909434768524
"THA","Asia","East Asia & Pacific",2016,0.0374654776792085,1.44488387650218,2.3225085476504,3.64691611423476,0.0327612477914039,0.570395607672075,0.00638287537061386,1.27325857919805,0.0165843301996782,4.87668646540201,1.14872751179733,0.556442133289393,0.839837595733883,1.24001156966579,0.258434096009355,2.78346181387968,0.00123345800852397
"THA","Asia","East Asia & Pacific",2017,0.0201951357890079,1.3204474774115,3.46661193220722,3.36324109021676,0.0386247955758396,0.564122273235199,0.00145320706372617,0.984420234210327,0.0172123948778273,4.58049988278772,1.19531957137121,0.470329729644437,0.929414876187312,1.14653573488677,0.30230678182876,2.83374842674833,-9.72957433380717e-09
"THA","Asia","East Asia & Pacific",2018,0.0191825155707073,1.24302457044685,3.49249924530623,3.06591506034594,0.0469686570703445,0.577399368112575,0.000471836509165754,0.809005958743405,0.0198611106799305,4.31575323610614,1.23978360537466,0.569359328557357,1.01152622708471,1.16686892164776,0.577508205428464,3.0027554245574,0
"GRC","Europe","Europe & Central Asia",2001,0,2.58288763026138,5.39443079227828,3.70776771751843,0.452711670630905,1.52699843620642,0,0,0.245081934898879,3.38581021590864,6.2867130110254,0.39949012444643,6.33139282757533,1.4902032931653,0.556526538496918,13.5734654454183,0
"GRC","Europe","Europe & Central Asia",2002,0,2.88876245709986,5.32420577385431,3.91224818152342,0.488189843448896,1.46089893002,0,0,0.249600822214473,3.55130581606622,5.96778436446614,0.37440123332171,5.73959537749066,1.50494613394021,0.568331283914818,13.7335511222861,0
"GRC","Europe","Europe & Central Asia",2003,0,3.64551018697074,5.49621307397781,4.25477208574383,0.441575137642883,1.63047427405606,0,0,0.262709259103994,3.09158491937062,5.97859199016238,0.3745004331908,5.07420139180012,1.49129426231799,0.542746150191442,14.2947374304799,0
"GRC","Europe","Europe & Central Asia",2004,0,2.94503293481179,6.34433913564187,4.10601086126082,0.50124925148155,1.60544301967829,0,0,0.252431394412439,4.70740671911458,5.63350471824733,0.374775444465093,4.92989737553945,1.58376179561833,0.590555245823783,14.0293006256582,0
"GRC","Europe","Europe & Central Asia",2005,0,2.68417301572962,4.49102096947431,4.21045763443451,0.59073890043264,1.79078708304474,0,0,0.252456811314883,3.06511679264412,6.17992190401622,0.335270675861515,4.85590387568886,1.54385119603296,0.638921512532498,14.905491813975,0
"GRC","Europe","Europe & Central Asia",2006,0,2.57823759994859,3.74503125831949,3.6477219524286,0.77158935472914,1.63452093527095,0,0,0.221699975213667,4.56848830911311,5.8963931295958,0.236847178489135,4.59556967254501,1.42888617565248,0.642608623807732,15.1228759489952,0
"GRC","Europe","Europe & Central Asia",2007,0,2.76585229592385,4.23171963299598,3.59139646318142,0.793742882313758,2.31461784739681,0,0,0.233782419046391,4.36150325533424,6.0117320956617,0.218311523668321,4.68424332280453,1.4946603923591,0.615397838372118,15.7106942564301,0
"GRC","Europe","Europe & Central Asia",2008,0,2.99227240795074,5.70354146865573,3.77288317699078,0.908715236166784,1.68849952477375,0,0,0.256208934253482,4.41009959089219,6.45853134427042,0.257035414686557,5.02913343526592,1.5864291912889,0.695070044216703,17.0420265300219,0
"GRC","Europe","Europe & Central Asia",2009,0,3.31868279909402,5.39880606565797,4.1299350829776,0.878611061995335,2.15169196830769,0,0,0.297641600781362,4.3867404245287,6.81334040600504,0.372157249067502,5.24893278435929,1.78374464287218,0.657169078952908,18.6432258118838,0
